1 sun 2 3 4 5 6
2 1 sun 3 4 5 6
2 sun 1 3 4 5 6
3 1 sun 2 4 5 6
3 2 1 sun 4 5 6
3 2 sun 1 4 5 6
3 sun 1 2 4 5 6
4 1 sun 2 3 5 6
4 2 1 sun 3 5 6
4 2 sun 1 3 5 6
4 3 1 sun 2 5 6
4 3 2 1 sun 5 6
4 3 2 sun 1 5 6
4 3 sun 1 2 5 6
4 sun 1 2 3 5 6
5 1 sun 2 3 4 6
5 2 1 sun 3 4 6
5 2 sun 1 3 4 6
5 3 1 sun 2 4 6
5 3 2 1 sun 4 6
5 3 2 sun 1 4 6
5 3 sun 1 2 4 6
5 4 1 sun 2 3 6
5 4 2 1 sun 3 6
5 4 2 sun 1 3 6
5 4 3 1 sun 2 6
5 4 3 2 1 sun 6
5 4 3 2 sun 1 6
5 4 3 sun 1 2 6
5 4 sun 1 2 3 6
5 sun 1 2 3 4 6
6 1 sun 2 3 4 5
6 2 1 sun 3 4 5
6 2 sun 1 3 4 5
6 3 1 sun 2 4 5
6 3 2 1 sun 4 5
6 3 2 sun 1 4 5
6 3 sun 1 2 4 5
6 4 1 sun 2 3 5
6 4 2 1 sun 3 5
6 4 2 sun 1 3 5
6 4 3 1 sun 2 5
6 4 3 2 1 sun 5
6 4 3 2 sun 1 5
6 4 3 sun 1 2 5
6 4 sun 1 2 3 5
6 5 1 sun 2 3 4
6 5 2 1 sun 3 4
6 5 2 sun 1 3 4
6 5 3 1 sun 2 4
6 5 3 2 1 sun 4
6 5 3 2 sun 1 4
6 5 3 sun 1 2 4
6 5 4 1 sun 2 3
6 5 4 2 1 sun 3
6 5 4 2 sun 1 3
6 5 4 3 1 sun 2
6 5 4 3 2 1 sun
6 5 4 3 2 sun 1
6 5 4 3 sun 1 2
6 5 4 sun 1 2 3
6 5 sun 1 2 3 4
6 sun 1 2 3 4 5
sun 1 2 3 4 5 6
