1 sun 2 3 4 5 6 7 8
2 1 sun 3 4 5 6 7 8
2 sun 1 3 4 5 6 7 8
3 1 sun 2 4 5 6 7 8
3 2 1 sun 4 5 6 7 8
3 2 sun 1 4 5 6 7 8
3 sun 1 2 4 5 6 7 8
4 1 sun 2 3 5 6 7 8
4 2 1 sun 3 5 6 7 8
4 2 sun 1 3 5 6 7 8
4 3 1 sun 2 5 6 7 8
4 3 2 1 sun 5 6 7 8
4 3 2 sun 1 5 6 7 8
4 3 sun 1 2 5 6 7 8
4 sun 1 2 3 5 6 7 8
5 1 sun 2 3 4 6 7 8
5 2 1 sun 3 4 6 7 8
5 2 sun 1 3 4 6 7 8
5 3 1 sun 2 4 6 7 8
5 3 2 1 sun 4 6 7 8
5 3 2 sun 1 4 6 7 8
5 3 sun 1 2 4 6 7 8
5 4 1 sun 2 3 6 7 8
5 4 2 1 sun 3 6 7 8
5 4 2 sun 1 3 6 7 8
5 4 3 1 sun 2 6 7 8
5 4 3 2 1 sun 6 7 8
5 4 3 2 sun 1 6 7 8
5 4 3 sun 1 2 6 7 8
5 4 sun 1 2 3 6 7 8
5 sun 1 2 3 4 6 7 8
6 1 sun 2 3 4 5 7 8
6 2 1 sun 3 4 5 7 8
6 2 sun 1 3 4 5 7 8
6 3 1 sun 2 4 5 7 8
6 3 2 1 sun 4 5 7 8
6 3 2 sun 1 4 5 7 8
6 3 sun 1 2 4 5 7 8
6 4 1 sun 2 3 5 7 8
6 4 2 1 sun 3 5 7 8
6 4 2 sun 1 3 5 7 8
6 4 3 1 sun 2 5 7 8
6 4 3 2 1 sun 5 7 8
6 4 3 2 sun 1 5 7 8
6 4 3 sun 1 2 5 7 8
6 4 sun 1 2 3 5 7 8
6 5 1 sun 2 3 4 7 8
6 5 2 1 sun 3 4 7 8
6 5 2 sun 1 3 4 7 8
6 5 3 1 sun 2 4 7 8
6 5 3 2 1 sun 4 7 8
6 5 3 2 sun 1 4 7 8
6 5 3 sun 1 2 4 7 8
6 5 4 1 sun 2 3 7 8
6 5 4 2 1 sun 3 7 8
6 5 4 2 sun 1 3 7 8
6 5 4 3 1 sun 2 7 8
6 5 4 3 2 1 sun 7 8
6 5 4 3 2 sun 1 7 8
6 5 4 3 sun 1 2 7 8
6 5 4 sun 1 2 3 7 8
6 5 sun 1 2 3 4 7 8
6 sun 1 2 3 4 5 7 8
7 1 sun 2 3 4 5 6 8
7 2 1 sun 3 4 5 6 8
7 2 sun 1 3 4 5 6 8
7 3 1 sun 2 4 5 6 8
7 3 2 1 sun 4 5 6 8
7 3 2 sun 1 4 5 6 8
7 3 sun 1 2 4 5 6 8
7 4 1 sun 2 3 5 6 8
7 4 2 1 sun 3 5 6 8
7 4 2 sun 1 3 5 6 8
7 4 3 1 sun 2 5 6 8
7 4 3 2 1 sun 5 6 8
7 4 3 2 sun 1 5 6 8
7 4 3 sun 1 2 5 6 8
7 4 sun 1 2 3 5 6 8
7 5 1 sun 2 3 4 6 8
7 5 2 1 sun 3 4 6 8
7 5 2 sun 1 3 4 6 8
7 5 3 1 sun 2 4 6 8
7 5 3 2 1 sun 4 6 8
7 5 3 2 sun 1 4 6 8
7 5 3 sun 1 2 4 6 8
7 5 4 1 sun 2 3 6 8
7 5 4 2 1 sun 3 6 8
7 5 4 2 sun 1 3 6 8
7 5 4 3 1 sun 2 6 8
7 5 4 3 2 1 sun 6 8
7 5 4 3 2 sun 1 6 8
7 5 4 3 sun 1 2 6 8
7 5 4 sun 1 2 3 6 8
7 5 sun 1 2 3 4 6 8
7 6 1 sun 2 3 4 5 8
7 6 2 1 sun 3 4 5 8
7 6 2 sun 1 3 4 5 8
7 6 3 1 sun 2 4 5 8
7 6 3 2 1 sun 4 5 8
7 6 3 2 sun 1 4 5 8
7 6 3 sun 1 2 4 5 8
7 6 4 1 sun 2 3 5 8
7 6 4 2 1 sun 3 5 8
7 6 4 2 sun 1 3 5 8
7 6 4 3 1 sun 2 5 8
7 6 4 3 2 1 sun 5 8
7 6 4 3 2 sun 1 5 8
7 6 4 3 sun 1 2 5 8
7 6 4 sun 1 2 3 5 8
7 6 5 1 sun 2 3 4 8
7 6 5 2 1 sun 3 4 8
7 6 5 2 sun 1 3 4 8
7 6 5 3 1 sun 2 4 8
7 6 5 3 2 1 sun 4 8
7 6 5 3 2 sun 1 4 8
7 6 5 3 sun 1 2 4 8
7 6 5 4 1 sun 2 3 8
7 6 5 4 2 1 sun 3 8
7 6 5 4 2 sun 1 3 8
7 6 5 4 3 1 sun 2 8
7 6 5 4 3 2 1 sun 8
7 6 5 4 3 2 sun 1 8
7 6 5 4 3 sun 1 2 8
7 6 5 4 sun 1 2 3 8
7 6 5 sun 1 2 3 4 8
7 6 sun 1 2 3 4 5 8
7 sun 1 2 3 4 5 6 8
8 1 sun 2 3 4 5 6 7
8 2 1 sun 3 4 5 6 7
8 2 sun 1 3 4 5 6 7
8 3 1 sun 2 4 5 6 7
8 3 2 1 sun 4 5 6 7
8 3 2 sun 1 4 5 6 7
8 3 sun 1 2 4 5 6 7
8 4 1 sun 2 3 5 6 7
8 4 2 1 sun 3 5 6 7
8 4 2 sun 1 3 5 6 7
8 4 3 1 sun 2 5 6 7
8 4 3 2 1 sun 5 6 7
8 4 3 2 sun 1 5 6 7
8 4 3 sun 1 2 5 6 7
8 4 sun 1 2 3 5 6 7
8 5 1 sun 2 3 4 6 7
8 5 2 1 sun 3 4 6 7
8 5 2 sun 1 3 4 6 7
8 5 3 1 sun 2 4 6 7
8 5 3 2 1 sun 4 6 7
8 5 3 2 sun 1 4 6 7
8 5 3 sun 1 2 4 6 7
8 5 4 1 sun 2 3 6 7
8 5 4 2 1 sun 3 6 7
8 5 4 2 sun 1 3 6 7
8 5 4 3 1 sun 2 6 7
8 5 4 3 2 1 sun 6 7
8 5 4 3 2 sun 1 6 7
8 5 4 3 sun 1 2 6 7
8 5 4 sun 1 2 3 6 7
8 5 sun 1 2 3 4 6 7
8 6 1 sun 2 3 4 5 7
8 6 2 1 sun 3 4 5 7
8 6 2 sun 1 3 4 5 7
8 6 3 1 sun 2 4 5 7
8 6 3 2 1 sun 4 5 7
8 6 3 2 sun 1 4 5 7
8 6 3 sun 1 2 4 5 7
8 6 4 1 sun 2 3 5 7
8 6 4 2 1 sun 3 5 7
8 6 4 2 sun 1 3 5 7
8 6 4 3 1 sun 2 5 7
8 6 4 3 2 1 sun 5 7
8 6 4 3 2 sun 1 5 7
8 6 4 3 sun 1 2 5 7
8 6 4 sun 1 2 3 5 7
8 6 5 1 sun 2 3 4 7
8 6 5 2 1 sun 3 4 7
8 6 5 2 sun 1 3 4 7
8 6 5 3 1 sun 2 4 7
8 6 5 3 2 1 sun 4 7
8 6 5 3 2 sun 1 4 7
8 6 5 3 sun 1 2 4 7
8 6 5 4 1 sun 2 3 7
8 6 5 4 2 1 sun 3 7
8 6 5 4 2 sun 1 3 7
8 6 5 4 3 1 sun 2 7
8 6 5 4 3 2 1 sun 7
8 6 5 4 3 2 sun 1 7
8 6 5 4 3 sun 1 2 7
8 6 5 4 sun 1 2 3 7
8 6 5 sun 1 2 3 4 7
8 6 sun 1 2 3 4 5 7
8 7 1 sun 2 3 4 5 6
8 7 2 1 sun 3 4 5 6
8 7 2 sun 1 3 4 5 6
8 7 3 1 sun 2 4 5 6
8 7 3 2 1 sun 4 5 6
